codigo,aids,animais,dengue,hanseniase,hepatites,sadquirida,scongenita,sgestante,toxico,tuberculose,autoprovocada_sim,autoprovocada_não,violencia,estabelecimentos,profissionais,estado,metropolitana,amazonia,semiarido,agropecuaria,industria,servicos,servicos_basicos,impostos,pib,per_capita,populacao,latitude,longitude,regiao,nascimentos,mortalidade_geral,mortalidade_infantil
316110,13,1213,1868,62,6,24,35,51,9,85,15,539,791,46,102,MG,0,0,1,39141.0,31918.0,211110.0,219667.0,30165.0,532001.0,9445.53,56323,-15.9519,-44.8597,SE,4163,1823,68
316120,4,32,24,2,2,0,1,0,33,6,11,63,75,6,14,MG,0,0,0,12146.0,5207.0,38794.0,28762.0,6397.0,91306.0,13988.93,6527,-20.7041,-44.9841,SE,352,230,4
316130,2,264,302,1,5,8,0,1,58,3,42,142,187,9,31,MG,0,0,0,48806.0,7978.0,42691.0,32807.0,7344.0,139626.0,22383.15,6238,-19.8616,-49.7731,SE,326,173,4
316140,5,40,148,1,1,2,0,3,22,6,5,36,44,8,17,MG,0,0,0,5665.0,1969.0,18200.0,23802.0,2873.0,52508.0,10839.82,4844,-20.7928,-42.2676,SE,239,227,4
316150,5,20,605,16,1,3,5,2,22,8,11,107,121,7,23,MG,0,0,0,9198.0,79353.0,57662.0,49777.0,24901.0,220891.0,17862.8,12366,-20.9257,-42.8367,SE,488,375,4
316160,2,118,149,2,10,5,0,3,10,9,10,47,57,3,16,MG,0,0,0,3237.0,988.0,10930.0,20023.0,1158.0,36336.0,9171.13,3962,-18.8443,-42.2886,SE,213,170,3
316165,2,78,63,7,1,0,2,0,2,6,2,55,57,5,11,MG,0,0,0,4075.0,1957.0,12854.0,21513.0,1545.0,41944.0,10454.58,4012,-18.9101,-41.3633,SE,201,117,5
316180,3,81,710,0,2,23,5,8,40,5,15,111,136,8,23,MG,0,0,0,18302.0,73810.0,72120.0,52752.0,22818.0,239801.0,19321.65,12411,-19.9826,-44.8597,SE,695,393,8
316190,6,120,148,0,19,15,1,2,40,4,7,111,130,14,47,MG,1,0,0,6361.0,2364627.0,831790.0,143472.0,72092.0,3418342.0,313035.0,10920,-19.8226,-43.3664,SE,730,307,5
312550,1,75,41,5,0,0,0,0,8,7,8,55,68,6,18,MG,0,0,0,2033.0,2252.0,11635.0,18286.0,2567.0,36773.0,11611.3,3167,-17.9993,-43.3817,SE,133,84,2
316200,11,254,328,3,8,29,5,14,88,13,70,230,313,63,83,MG,0,0,0,52581.0,111425.0,302671.0,108295.0,75442.0,650415.0,25557.6,25449,-21.8937,-45.5897,SE,1669,917,25
316210,18,366,4864,45,9,25,26,33,422,27,49,756,818,55,150,MG,0,0,0,70113.0,90600.0,525894.0,152863.0,105720.0,945190.0,26648.35,35469,-19.3092,-46.0469,SE,3502,1113,51
316220,1,213,181,2,5,9,1,1,74,2,53,122,175,12,26,MG,0,0,0,46732.0,14165.0,49298.0,41656.0,8771.0,160622.0,21551.26,7453,-20.6355,-46.5084,SE,424,254,6
316225,1,63,119,0,0,3,0,0,7,1,10,49,62,4,16,MG,0,0,0,8927.0,1443.0,11844.0,24358.0,1871.0,48442.0,9856.03,4915,-16.8508,-44.3461,SE,250,132,5
316230,2,23,0,0,0,0,1,0,28,1,3,30,33,5,10,MG,0,0,0,8269.0,1485.0,14332.0,16181.0,2140.0,42408.0,15426.78,2749,-21.9285,-45.9301,SE,159,101,4
316240,1,692,1276,3,0,1,2,2,10,17,15,136,156,20,77,MG,0,0,1,17515.0,9803.0,70263.0,106628.0,10893.0,215101.0,8547.63,25165,-15.9287,-44.0058,SE,1288,744,22
316245,3,315,211,22,10,1,1,2,3,19,107,222,339,15,47,MG,0,0,1,4046.0,2622.0,19513.0,54985.0,2496.0,83661.0,6428.57,13014,-14.8815,-44.0802,SE,1359,367,26
316250,42,229,2625,5,36,347,67,86,522,62,368,818,1262,311,645,MG,0,0,0,135043.0,375987.0,1272581.0,383453.0,273069.0,2440131.0,27087.89,90082,-21.1315,-44.253,SE,4968,3643,55
316255,3,147,15,3,0,21,12,16,35,5,10,29,40,14,26,MG,0,0,0,12421.0,6380.0,49365.0,50658.0,8554.0,127379.0,11019.86,11559,-20.3938,-42.1536,SE,927,345,22
316257,2,200,231,7,0,3,3,0,2,4,5,37,42,6,14,MG,0,0,0,3154.0,7532.0,25538.0,27172.0,3527.0,66924.0,11422.38,5859,-18.7235,-41.1632,SE,412,224,1
316265,1,143,78,1,3,4,0,4,3,1,3,40,57,7,15,MG,0,0,0,3715.0,1136.0,7773.0,22005.0,864.0,35494.0,8032.14,4419,-16.5326,-44.5302,SE,215,135,7
316270,1,552,19,7,2,3,3,5,1,9,6,174,190,21,56,MG,0,0,1,30370.0,16352.0,80331.0,95147.0,12863.0,235063.0,9952.7,23618,-15.3173,-42.0217,SE,1307,686,28
316280,3,93,707,0,2,9,2,5,3,2,16,47,65,14,33,MG,0,0,0,18538.0,12187.0,96652.0,63694.0,14900.0,205972.0,13057.7,15774,-18.5485,-42.7659,SE,1046,621,9
316290,8,453,3059,0,7,6,6,3,84,31,66,338,423,37,88,MG,0,0,0,10952.0,85620.0,194702.0,108839.0,29032.0,429145.0,16279.56,26361,-21.5386,-43.0072,SE,1505,1052,23
316292,33,20,3769,8,23,69,11,32,42,77,70,84,164,30,96,MG,1,0,0,32808.0,131969.0,195228.0,144208.0,75620.0,579834.0,18361.96,31578,-20.0484,-44.2753,SE,2008,794,17
316294,3,63,68,5,0,5,3,3,9,2,37,116,157,20,36,MG,0,0,0,28927.0,660242.0,55004.0,38270.0,9361.0,791805.0,106626.01,7426,-20.7183,-46.3134,SE,461,199,7
316295,21,60,1108,11,9,28,13,16,29,8,5,88,100,23,64,MG,1,0,0,8772.0,158244.0,172851.0,108593.0,69231.0,517691.0,21782.85,23766,-19.6976,-43.959,SE,1728,609,18
316300,1,194,160,2,0,0,2,4,6,8,1,43,44,4,10,MG,0,0,0,1595.0,2585.0,14164.0,21926.0,1948.0,42218.0,9891.69,4268,-18.3249,-42.1461,SE,307,127,4
316310,1,9,347,1,1,11,1,2,20,0,2,10,12,9,17,MG,1,0,0,42102.0,2879.0,19132.0,24640.0,3951.0,92704.0,18526.03,5004,-19.701,-44.5563,SE,230,130,0
316320,1,14,10,0,1,2,0,1,6,3,8,46,69,5,10,MG,0,0,0,3499.0,3125.0,19215.0,20711.0,3103.0,49653.0,11833.47,4196,-22.3247,-45.5262,SE,267,137,1
316330,1,67,50,7,1,1,0,1,4,4,3,98,101,6,14,MG,0,0,0,4100.0,1301.0,13537.0,19127.0,1238.0,39304.0,10182.31,3860,-18.4798,-41.391,SE,235,114,1
316340,2,242,300,0,2,1,0,1,16,8,18,93,122,5,10,MG,1,0,0,6306.0,2559.0,18188.0,26616.0,2128.0,55797.0,10294.65,5420,-19.9219,-42.7039,SE,267,199,3
316370,12,77,71,3,26,106,22,36,197,93,261,296,558,240,375,MG,0,0,0,1460.0,74156.0,710711.0,232759.0,99793.0,1118880.0,24402.52,45851,-22.1171,-45.051,SE,2696,1900,32
316380,1,24,47,2,0,0,0,3,7,0,1,44,47,13,28,MG,0,0,0,15939.0,4391.0,23720.0,32444.0,3716.0,80210.0,11560.9,6938,-20.7071,-42.7178,SE,306,260,5
316390,1,195,13,0,2,7,0,1,2,0,20,66,87,8,23,MG,0,0,0,22100.0,3664.0,28103.0,24040.0,4576.0,82483.0,17703.93,4659,-21.1314,-46.6127,SE,248,201,6
316400,3,142,262,12,1,6,1,3,33,6,15,55,72,15,15,MG,0,0,0,15641.0,16202.0,39483.0,34005.0,8521.0,113851.0,14631.97,7781,-20.1737,-42.5254,SE,404,319,5
316420,1,201,401,4,1,2,2,0,4,4,29,127,158,12,29,MG,0,0,1,43455.0,9714.0,37759.0,52588.0,8403.0,151919.0,12314.1,12337,-16.3671,-45.0686,SE,572,221,8
316440,3,36,10,0,2,6,4,1,43,3,2,62,64,5,13,MG,0,0,0,9068.0,52308.0,261595.0,31566.0,94736.0,449272.0,81626.52,5504,-22.1588,-45.755,SE,369,188,5
316450,2,34,89,1,2,4,0,0,2,4,0,60,63,8,18,MG,0,0,0,11341.0,2850.0,23520.0,40511.0,2874.0,81096.0,8074.12,10044,-18.0892,-42.5698,SE,486,325,10
316460,3,30,166,1,3,28,1,7,58,4,42,107,150,11,26,MG,0,0,0,63781.0,127908.0,91255.0,37230.0,43823.0,363996.0,53726.35,6775,-20.2763,-45.0067,SE,608,178,6
316470,48,356,3527,36,46,80,18,28,508,59,401,236,649,183,511,MG,0,0,0,68010.0,374020.0,953517.0,317570.0,245588.0,1958705.0,27604.51,70956,-20.9172,-46.9841,SE,4602,2558,45
316490,1,10,5,0,2,4,0,2,1,0,5,14,20,4,9,MG,0,0,0,3221.0,2617.0,10434.0,14183.0,1462.0,31918.0,14242.61,2241,-22.2188,-44.9765,SE,99,91,1
316520,2,88,27,0,6,10,3,7,25,13,33,105,140,10,28,MG,0,0,0,14806.0,6648.0,45827.0,31053.0,6494.0,104828.0,14787.36,7089,-21.7263,-44.9852,SE,376,197,3
316500,3,158,118,0,0,26,5,11,69,5,62,37,102,12,26,MG,0,0,0,34026.0,18535.0,64143.0,45707.0,14309.0,176719.0,16151.97,10941,-20.9079,-44.5102,SE,576,392,4
316510,2,97,272,0,0,3,2,2,85,6,69,101,173,12,21,MG,0,0,0,23150.0,7952.0,43874.0,35034.0,7367.0,117377.0,16718.04,7021,-20.7795,-47.0966,SE,415,259,3
316530,1,7,11,0,1,4,2,1,0,4,11,56,84,17,35,MG,0,0,0,29670.0,23732.0,61146.0,34932.0,16270.0,165751.0,21378.89,7753,-21.7047,-44.4434,SE,398,264,7
316550,1,78,22,2,0,0,0,0,23,2,3,58,61,5,18,MG,0,0,0,6560.0,2474.0,20219.0,28988.0,2966.0,61207.0,9715.4,6300,-18.7833,-42.3633,SE,366,200,4
316553,24,263,5142,7,11,50,11,13,172,28,46,77,195,37,112,MG,1,0,0,1915.0,451207.0,330185.0,163717.0,122227.0,1069251.0,32646.9,32752,-20.0371,-44.145,SE,2713,704,26
316557,1,46,7,2,2,4,0,3,32,3,11,67,79,7,14,MG,0,0,0,8680.0,3298.0,25854.0,26481.0,3634.0,67946.0,12686.0,5356,-22.5874,-46.1767,SE,514,175,4
316570,1,93,242,3,0,5,1,4,39,2,37,59,121,13,43,MG,0,0,0,5838.0,7448.0,42159.0,34706.0,5588.0,95739.0,12255.39,7812,-20.9162,-43.0908,SE,428,334,5
316580,1,16,2,0,0,0,0,0,17,1,0,0,0,5,10,MG,0,0,0,3822.0,834.0,6611.0,10553.0,754.0,22574.0,15029.46,1502,-22.1638,-46.1796,SE,53,80,3
316620,3,173,13,7,0,16,1,1,51,4,37,73,112,8,27,MG,0,0,0,9616.0,5519.0,27708.0,42762.0,3466.0,89071.0,8516.24,10459,-21.0356,-43.5816,SE,444,395,3
316640,3,31,6,0,0,1,0,1,0,0,12,12,30,3,15,MG,0,0,0,8272.0,3222.0,12953.0,13369.0,2237.0,40055.0,21639.4,1851,-21.9138,-44.5183,SE,98,63,1
316650,3,44,79,0,4,9,0,0,6,1,14,157,209,3,12,MG,0,0,0,3167.0,1367.0,8640.0,20460.0,999.0,34633.0,8067.38,4293,-18.3606,-43.1678,SE,278,108,6
316680,3,378,146,4,2,33,3,10,277,3,124,324,454,21,44,MG,0,0,0,146721.0,165552.0,144193.0,62290.0,54360.0,573116.0,49483.29,11582,-19.1099,-46.6822,SE,836,340,9
316670,3,161,362,16,0,8,5,14,2,3,4,87,97,6,9,MG,0,0,0,6985.0,3636.0,24439.0,36742.0,3507.0,75308.0,8657.12,8699,-17.7876,-40.2456,SE,424,330,4
316690,5,143,95,0,6,14,2,7,21,16,20,115,147,13,25,MG,0,0,0,14326.0,17189.0,48649.0,34181.0,8888.0,123234.0,16069.08,7669,-21.5446,-46.0421,SE,478,339,7
316695,1,134,12,0,0,0,0,0,0,1,3,9,16,7,14,MG,0,0,1,2858.0,1665.0,8135.0,23478.0,1085.0,37220.0,7784.98,4781,-15.8115,-42.8717,SE,225,153,4
316710,3,549,211,37,5,12,2,6,124,25,111,369,500,26,60,MG,0,0,0,17274.0,14291.0,122915.0,86957.0,18060.0,259497.0,12377.03,20966,-18.5996,-43.3748,SE,1341,670,17
316720,268,537,20440,50,49,633,88,257,1528,175,1088,837,1933,543,1034,MG,1,0,0,22871.0,3158204.0,3814395.0,1109223.0,1447973.0,9552666.0,39862.74,239639,-19.4574,-44.2416,SE,13801,7012,167
316750,2,35,25,0,5,1,1,2,4,4,1,9,10,5,15,MG,0,0,0,3149.0,34463.0,14446.0,17993.0,3154.0,73205.0,27994.09,2615,-21.9644,-43.3092,SE,141,114,1
316760,10,388,91,10,3,22,10,15,67,6,32,153,188,21,48,MG,0,0,0,18854.0,7792.0,77621.0,78177.0,13480.0,195924.0,9979.31,19633,-20.1346,-42.0094,SE,1586,565,23
316790,2,33,497,5,2,4,2,1,4,10,12,28,41,7,19,MG,0,0,0,3982.0,8182.0,20631.0,19460.0,4264.0,56519.0,15071.69,3750,-21.3637,-43.2384,SE,203,169,4
316800,1,311,436,5,2,5,1,1,0,13,13,440,507,54,184,MG,0,0,1,44777.0,35585.0,220229.0,141563.0,30353.0,472507.0,13843.51,34132,-15.8111,-42.2263,SE,2248,970,24
