"cidade","hanseniase"
"150510 Óbidos",36
"150520 Oeiras do Pará",53
"150530 Oriximiná",30
"150540 Ourém",30
"150543 Ourilândia do Norte",90
"150548 Pacajá",125
"150549 Palestina do Pará",15
"150550 Paragominas",381
"150553 Parauapebas",757
"150555 Pau D'Arco",19
"150560 Peixe-Boi",23
"150563 Piçarra",41
"150565 Placas",122
"150570 Ponta de Pedras",31
"150580 Portel",189
"150590 Porto de Moz",58
"150600 Prainha",18
"150610 Primavera",16
"150611 Quatipuru",20
"150613 Redenção",447
"150616 Rio Maria",85
"150618 Rondon do Pará",244
"150619 Rurópolis",128
"150620 Salinópolis",26
"150630 Salvaterra",56
"150635 Santa Bárbara do Pará",35
"150640 Santa Cruz do Arari",4
"150650 Santa Izabel do Pará",127
"150655 Santa Luzia do Pará",24
"150658 Santa Maria das Barreiras",95
"150660 Santa Maria do Pará",40
"150670 Santana do Araguaia",160
"150680 Santarém",271
"150690 Santarém Novo",3
"150700 Santo Antônio do Tauá",33
"150710 São Caetano de Odivelas",15
"150715 São Domingos do Araguaia",64
"150720 São Domingos do Capim",51
"150730 São Félix do Xingu",312
"150740 São Francisco do Pará",35
"150745 São Geraldo do Araguaia",59
"150746 São João da Ponta",6
"150747 São João de Pirabas",17
"150750 São João do Araguaia",51
"150760 São Miguel do Guamá",98
"150770 São Sebastião da Boa Vista",25
"150775 Sapucaia",16
"150780 Senador José Porfírio",66
"150790 Soure",34
"150795 Tailândia",381
"150796 Terra Alta",15
"150797 Terra Santa",8
"150800 Tomé-Açu",169
"150803 Tracuateua",27
"150805 Trairão",48
"150808 Tucumã",92
"150810 Tucuruí",303
"150812 Ulianópolis",147
"150815 Uruará",142
"150820 Vigia",46
"150830 Viseu",46
"150835 Vitória do Xingu",42
"150840 Xinguara",285
"150000 Município ignorado - PA",1
"160010 Amapá",3
"160020 Calçoene",22
"160021 Cutias",2
"160023 Ferreira Gomes",11
"160025 Itaubal",5
"160027 Laranjal do Jari",53
"160030 Macapá",389
"160040 Mazagão",19
"160050 Oiapoque",27
"160015 Pedra Branca do Amapari",10
"160053 Porto Grande",24
"160055 Pracuúba",3
"160060 Santana",82
"160005 Serra do Navio",2
"160070 Tartarugalzinho",12
"160080 Vitória do Jari",6
"170025 Abreulândia",10
"170030 Aguiarnópolis",6
"170035 Aliança do Tocantins",22
"170040 Almas",67
"170070 Alvorada",37
"170100 Ananás",19
"170105 Angico",4
"170110 Aparecida do Rio Negro",48
"170130 Aragominas",32
"170190 Araguacema",31
"170200 Araguaçu",88
"170210 Araguaína",635
"170215 Araguanã",21
"170220 Araguatins",79
"170230 Arapoema",46
"170240 Arraias",18
"170255 Augustinópolis",78
"170270 Aurora do Tocantins",12
"170290 Axixá do Tocantins",36
"170300 Babaçulândia",15
"170305 Bandeirantes do Tocantins",3
"170307 Barra do Ouro",10
"170310 Barrolândia",27
"170320 Bernardo Sayão",12
"170330 Bom Jesus do Tocantins",24
"170360 Brasilândia do Tocantins",2
"170370 Brejinho de Nazaré",18
"170380 Buriti do Tocantins",32
"170382 Cachoeirinha",2
"170384 Campos Lindos",7
"170386 Cariri do Tocantins",13
"170388 Carmolândia",7
"170389 Carrasco Bonito",11
"170390 Caseara",70
"170410 Centenário",8
"170510 Chapada da Natividade",19
"170460 Chapada de Areia",3
"170550 Colinas do Tocantins",145
"171670 Colméia",38
"170555 Combinado",7
"170560 Conceição do Tocantins",9
"170600 Couto Magalhães",34
"170610 Cristalândia",22
"170625 Crixás do Tocantins",8
"170650 Darcinópolis",15
"170700 Dianópolis",78
"170710 Divinópolis do Tocantins",30
"170720 Dois Irmãos do Tocantins",36
"170730 Dueré",5
"170740 Esperantina",15
"170755 Fátima",27
"170765 Figueirópolis",29
"170770 Filadélfia",9
"170820 Formoso do Araguaia",78
"170825 Fortaleza do Tabocão",20
"170830 Goianorte",34
"170900 Goiatins",35
"170930 Guaraí",82
"170950 Gurupi",385
"170980 Ipueiras",3
"171050 Itacajá",22
"171070 Itaguatins",6
"171090 Itapiratins",9
"171110 Itaporã do Tocantins",5
"171150 Jaú do Tocantins",19
"171180 Juarina",4
"171190 Lagoa da Confusão",94
"171195 Lagoa do Tocantins",20
"171200 Lajeado",35
"171215 Lavandeira",5
"171240 Lizarda",20
"171245 Luzinópolis",13
"171250 Marianópolis do Tocantins",53
"171270 Mateiros",24
"171280 Maurilândia do Tocantins",22
"171320 Miracema do Tocantins",141
"171330 Miranorte",70
"171360 Monte do Carmo",17
"171370 Monte Santo do Tocantins",16
"171395 Muricilândia",2
"171420 Natividade",44
"171430 Nazaré",4
"171488 Nova Olinda",43
"171500 Nova Rosalândia",18
"171510 Novo Acordo",21
"171515 Novo Alegre",11
"171525 Novo Jardim",28
"171550 Oliveira de Fátima",8
"172100 Palmas",3532
"171570 Palmeirante",7
"171380 Palmeiras do Tocantins",10
"171575 Palmeirópolis",16
"171610 Paraíso do Tocantins",221
"171620 Paranã",13
"171630 Pau D'Arco",12
"171650 Pedro Afonso",72
"171660 Peixe",38
"171665 Pequizeiro",13
"171700 Pindorama do Tocantins",56
"171720 Piraquê",5
"171750 Pium",24
"171780 Ponte Alta do Bom Jesus",16
"171790 Ponte Alta do Tocantins",41
"171800 Porto Alegre do Tocantins",8
"171820 Porto Nacional",325
"171830 Praia Norte",18
"171840 Presidente Kennedy",7
"171845 Pugmil",19
"171850 Recursolândia",54
"171855 Riachinho",21
"171865 Rio da Conceição",6
"171870 Rio dos Bois",6
"171875 Rio Sono",28
"171880 Sampaio",9
"171884 Sandolândia",42
"171886 Santa Fé do Araguaia",117
"171888 Santa Maria do Tocantins",14
"171889 Santa Rita do Tocantins",3
"171890 Santa Rosa do Tocantins",37
"171900 Santa Tereza do Tocantins",24
"172000 Santa Terezinha do Tocantins",10
"172010 São Bento do Tocantins",9
"172015 São Félix do Tocantins",17
"172020 São Miguel do Tocantins",25
"172025 São Salvador do Tocantins",4
"172030 São Sebastião do Tocantins",10
"172049 São Valério",99
"172065 Silvanópolis",20
"172080 Sítio Novo do Tocantins",17
"172085 Sucupira",5
"172090 Taguatinga",13
"172093 Taipas do Tocantins",12
"172097 Talismã",17
"172110 Tocantínia",28
"172120 Tocantinópolis",35
"172125 Tupirama",8
"172130 Tupiratins",10
"172208 Wanderlândia",15
"172210 Xambioá",43
"210005 Açailândia",497
"210010 Afonso Cunha",3
"210015 Água Doce do Maranhão",7
"210020 Alcântara",45
"210030 Aldeias Altas",63
"210040 Altamira do Maranhão",13
"210043 Alto Alegre do Maranhão",85
"210047 Alto Alegre do Pindaré",129
"210050 Alto Parnaíba",26
"210055 Amapá do Maranhão",32
"210060 Amarante do Maranhão",110
"210070 Anajatuba",75
"210080 Anapurus",7
"210083 Apicum-Açu",17
"210087 Araguanã",20
"210090 Araioses",45
"210095 Arame",103
"210100 Arari",201
"210110 Axixá",5
"210120 Bacabal",414
"210125 Bacabeira",34
"210130 Bacuri",21
"210135 Bacurituba",21
"210140 Balsas",487
"210150 Barão de Grajaú",102
"210160 Barra do Corda",375
"210170 Barreirinhas",121
"210177 Bela Vista do Maranhão",66
"210173 Belágua",3
"210180 Benedito Leite",7
"210190 Bequimão",46
"210193 Bernardo do Mearim",14
"210197 Boa Vista do Gurupi",32
"210200 Bom Jardim",221
"210203 Bom Jesus das Selvas",84
"210207 Bom Lugar",42
"210210 Brejo",36
"210215 Brejo de Areia",36
"210220 Buriti",27
"210230 Buriti Bravo",26
"210232 Buriticupu",158
"210235 Buritirana",17
"210237 Cachoeira Grande",6
"210240 Cajapió",7
"210250 Cajari",68
"210255 Campestre do Maranhão",30
"210260 Cândido Mendes",38
"210270 Cantanhede",133
"210275 Capinzal do Norte",33
"210280 Carolina",73
"210290 Carutapera",20
"210300 Caxias",572
"210310 Cedral",6
"210312 Central do Maranhão",7
"210315 Centro do Guilherme",31
"210317 Centro Novo do Maranhão",35
"210320 Chapadinha",147
"210325 Cidelândia",45
"210330 Codó",545
"210340 Coelho Neto",79
"210350 Colinas",68
"210355 Conceição do Lago-Açu",72
"210360 Coroatá",340
"210370 Cururupu",96
"210375 Davinópolis",37
"210380 Dom Pedro",109
"210390 Duque Bacelar",14
"210400 Esperantinópolis",62
"210405 Estreito",61
"210407 Feira Nova do Maranhão",16
"210408 Fernando Falcão",12
"210409 Formosa da Serra Negra",8
"210410 Fortaleza dos Nogueiras",11
"210420 Fortuna",15
"210430 Godofredo Viana",20
"210440 Gonçalves Dias",35
"210450 Governador Archer",74
"210455 Governador Edison Lobão",66
"210460 Governador Eugênio Barros",35
"210462 Governador Luiz Rocha",10
"210465 Governador Newton Bello",154
"210467 Governador Nunes Freire",105
"210470 Graça Aranha",5
"210480 Grajaú",193
"210490 Guimarães",12
"210500 Humberto de Campos",26
"210510 Icatu",12
"210515 Igarapé do Meio",44
"210520 Igarapé Grande",35
"210530 Imperatriz",1076
"210535 Itaipava do Grajaú",24
"210540 Itapecuru Mirim",305
